"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","Respondent HDI","Home State of investor","Claimant HDI","Economic sector","Economic subsector","Arbitrators","Amount claimed","Amount awarded (or settled for)","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC"
2013,"Isolux v. Spain","The Energy Charter Treaty (1994)","SCC","SCC","Investment: Interests in several photovoltaic plants in Spain.                        Summary: Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generatorsƒ?? revenues and a reduction in subsidies for renewable energy producers.","Interests in several photovoltaic plants in Spain.","Decided in favour of State","Spain","0.891","Netherlands","0.931","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Derains, Y. - PresidentTawil, G. S. - Claimantvon Wobeser, C. - Respondent","76.10","Null","Data not available","None - all claims dismissed at the merits stage","Award dated 12 July 2016","Dissenting Opinion of Guido S. Tawil","None","None","None","None","None","Derains, Y.","von Wobeser, C.","Tawil, G. S."
2013,"JSW Solar and Wirtgen v. Czech Republic","Czech Republic - Germany BIT (1990)","UNCITRAL","PCA","Investment: Interests in the Czech photovoltaic sector.                        Summary: Claims arising out of amendments to the pre-existing incentive regime for the renewable energy sector, including the introduction of a levy on electricity generated from solar power plants.","Interests in the Czech photovoltaic sector.","Decided in favour of State","Czechia","0.888","Germany","0.936","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Kaufmann-Kohler, G. - PresidentBorn, G. B. - ClaimantTomka, P. - Respondent","22.90","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause","None - all claims dismissed at the merits stage","Final Award dated 11 October 2017","Dissenting Opinion of Gary B. Born","None","None","None","None","None","Kaufmann-Kohler, G.","Tomka, P.","Born, G. B."
2013,"Juvel and Bithell v. Poland","Cyprus - Poland BIT (1992)","ICC","ICC","Investment: Shareholding in Polish telecommunications company Sferia S.A.                        Summary: Claims arising out of certain decisions by Polandƒ??s Office of Electronic Communications which allegedly resulted in Sferiaƒ??s inability to effectively use radio frequencies in the 850 MHz band to develop an LTE mobile phone network.","Shareholding in Polish telecommunications company Sferia S.A.","Decided in favour of State","Poland","0.865","Cyprus","0.869","Tertiary: J - Information and communication","61 - Telecommunications","Hanotiau, B. - PresidentBorn, G. B. - ClaimantStern, B. - Respondent","475.20","Null","Indirect expropriation","None - all claims dismissed at the merits stage","Award dated 26 February 2019","None","None","None","None","None","None","Hanotiau, B.","Stern, B.","Born, G. B."
2013,"Karkey Karadeniz v. Pakistan","Pakistan - Turkey BIT (1995)","ICSID","ICSID","Investment: Rights under a contract concluded with a State-owned electricity company to provide four power-generating vessels to the port of Karachi.                        Summary: Claims arising out of the alleged unlawful detention by the Government of four electricity-generating vessels owned by the claimant, as well as alleged breaches of contractual payment obligations for electricity generated.","Rights under a contract concluded with a State-owned electricity company to provide four power-generating vessels to the port of Karachi.","Decided in favour of investor","Pakistan","0.562","Turkey","0.791","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Derains, Y. - PresidentGrigera NaÇün, H. A. - ClaimantEdward, D. A. O. - Respondent","2000.00","490.40","Direct expropriationTransfer of funds","Direct expropriationTransfer of funds","Decision on the Respondentƒ??s request to address the objections to jurisdiction as a preliminary question dated 13 May 2014Award dated 22 August 2017","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","BÇôckstiegel, K.-H. - PresidentBull, C. - MemberUfot, D. U. - Member","Derains, Y.","Edward, D. A. O.","Grigera NaÇün, H. A."
2013,"KBR v. Mexico","NAFTA (1992)","UNCITRAL","ICSID","Investment: Rights under contracts for the construction of two offshore gas platforms held through KBR's wholly-owned subsidiary; ICC arbitral award.                        Summary: Claims arising out of the Mexican courts' annulment of an International Chamber of Commerce (ICC) arbitration award issued in favour of claimant's subsidiary, COMMISA, concerning a contractual dispute with a Mexican State-owned entity.","Rights under contracts for the construction of two offshore gas platforms held through KBR's wholly-owned subsidiary; ICC arbitral award.","Decided in favour of State","Mexico","0.774","United States","0.924","Tertiary: F - Construction","43 - Specialized construction activities","Rigo Sureda, A. - PresidentKaufmann-Kohler, G. - ClaimantLozano AlarcÇün, G. - Respondent","465.00","Null","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatmentOther","Data not available","Award dated 30 April 2015","None","None","None","None","None","None","Rigo Sureda, A.","Lozano AlarcÇün, G.","Kaufmann-Kohler, G."
2013,"KHML v. India","India - Mauritius BIT (1998)","UNCITRAL","PCA","Investment: Minority shareholding (27 per cent) in Loop Telecom, a telecommunications company that held twenty one 2G licences in India.                        Summary: Claims arising out of the cancellation by India's Supreme Court of a telecoms licence held by a company in which the claimant had invested, and its reassignment through a public auction process.","Minority shareholding (27 per cent) in Loop Telecom, a telecommunications company that held twenty one 2G licences in India.","Pending","India","0.64","Mauritius","0.79","Tertiary: J - Information and communication","61 - Telecommunications","Xavier, F. - ClaimantStern, B. - RespondentMcLachlan, C. A. - President","1400.00","Null","Data not available","Pending","None","None","None","None","None","None","None","McLachlan, C. A.","Stern, B.","Xavier, F."
2013,"Kim and others v. Uzbekistan","Kazakhstan - Uzbekistan BIT (1997)","ICSID","ICSID","Investment: Indirect majority shareholding in two Uzbek cement companies, JSC Bekabadcement and JSC Kuvasaycement, through a Cypriot holding company, United Cement Group Plc.                        Summary: Claims arising out of a series of regulatory and judicial measures taken by different branches of the Uzbek government, including criminal investigations, allegedly leading to the unlawful nationalisation of two cement companies in which the claimants had invested.","Indirect majority shareholding in two Uzbek cement companies, JSC Bekabadcement and JSC Kuvasaycement, through a Cypriot holding company, United Cement Group Plc.","Pending","Uzbekistan","0.71","Kazakhstan","0.8","Secondary: C - Manufacturing","23 - Manufacture of other non-metallic mineral products","Caron, D. D. - President (replaced)Fortier, L. Y. - ClaimantLandau, T. - RespondentTomka, P. - President","500.00","Null","Data not available","Pending","Decision on Jurisdiction dated 8 March 2017","None","None","None","None","None","None","Tomka, P.","Landau, T.","Fortier, L. Y."
2013,"Lone Pine v. Canada","NAFTA (1992)","UNCITRAL","ICSID","Investment: Rights under oil and gas exploration permits held by a wholly-owned Canadian subsidiary.                        Summary: Claims arising out of the revocation by the Government of Quebec of claimant's permits for petroleum and natural gas exploration in the Utica shale gas basin, including beneath the St. Lawrence River.","Rights under oil and gas exploration permits held by a wholly-owned Canadian subsidiary.","Pending","Canada","0.926","United States","0.924","Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Veeder, V. V. - PresidentHaigh, D. - ClaimantStern, B. - Respondent","109.80","Null","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Pending","None","None","None","None","None","None","None","Veeder, V. V.","Stern, B.","Haigh, D."
2013,"Marfin v. Cyprus","Cyprus - Greece BIT (1992)","ICSID","ICSID","Investment: Shareholdings in Cyprus Popular Bank (also known as the Laiki bank), held by 13 individual claimants and six corporate claimants.                        Summary: Claims arising out of the issuance of a decree that increased the Government's participation in a Cypriot bank in which the claimants had invested, allegedly resulting in the take-over of the institution's management control and the bank's subsequent insolvency.","Shareholdings in Cyprus Popular Bank (also known as the Laiki bank), held by 13 individual claimants and six corporate claimants.","Decided in favour of State","Cyprus","0.869","Greece","0.87","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Hanotiau, B. - PresidentPrice, D. M. - ClaimantEdward, D. A. O. - Respondent","1287.80","Null","Indirect expropriationArbitrary, unreasonable and/or discriminatory measuresFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","None - all claims dismissed at the merits stage","Award dated 26 July 2018","None","None","None","None","None","None","Hanotiau, B.","Edward, D. A. O.","Price, D. M."
2013,"Mytilineos v. Serbia (II)","Greece - Serbia BIT (1997)","UNCITRAL","PCA","Investment: Claims to money under several agreements concluded between the claimant and RTB-BOR, a socially-owned Yugoslavian company, for cooperation in the mineral extraction and metallurgy business operated by RTB-BOR.                        Summary: Claims arising out of Serbia's alleged failure to honour a commitment regarding the deadline to privatize the mining company RTB-Bor, which prevented the claimant to recover outstanding payments from the Government.","Claims to money under several agreements concluded between the claimant and RTB-BOR, a socially-owned Yugoslavian company, for cooperation in the mineral extraction and metallurgy business operated by RTB-BOR.","Decided in favour of investor","Serbia","0.787","Greece","0.87","Primary: B - Mining and quarrying","7 - Mining of metal ores","Sachs, K. - PresidentBishop, D. - ClaimantVasiljevic, M. - RespondentVarady, T. - Respondent (replaced)","100.00","40.00","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated August 2017","None","Judicial review by national courts","Discontinued (Judicial review by national courts)","None","None","None","Sachs, K.","Vasiljevic, M.","Bishop, D."
2013,"Natland and others v. Czech Republic","Czech Republic - Netherlands BIT (1991)Cyprus - Czech Republic BIT (2001)BLEU (Belgium-Luxembourg Economic Union) - Czech Republic BIT (1989)The Energy Charter Treaty (1994)","UNCITRAL","PCA","Investment: Interests in the Czech photovoltaic sector.                        Summary: Claims arising out of amendments to the pre-existing incentive regime for the renewable energy sector, including the introduction of a levy on electricity generated from solar power plants.","Interests in the Czech photovoltaic sector.","Pending","Czechia","0.888","Cyprus","0.869","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Heiskanen, V. - PresidentBishop, D. - Claimant (replaced)Thomas, J. C. - RespondentBorn, G. B. - Claimant (replaced)Name not available - Claimant","90.00","Null","Data not available","Pending","Partial Award dated 20 December 2017","None","Judicial review by national courts","Pending (Judicial review by national courts)","None","None","None","Heiskanen, V.","Bishop, D. - 999Thomas, J. C.","Name not available"
2013,"OKKV v. Kyrgyzstan","CIS Investor Rights Convention (1997)","MCCI","MCCI","Investment: Rights to use land and monetary contributions towards building a tourist complex.                        Summary: Claims arising out of the alleged expropriation of a project to build a cultural and accommodation centre on the shores of Issyk Kul, known as the Avrora Green resort and residential complex.","Rights to use land and monetary contributions towards building a tourist complex.","Decided in favour of investor","Kyrgyzstan","0.672","Kazakhstan","0.8","Tertiary: F - Construction","41 - Construction of buildings","Vilkova, N. - PresidentAvtonomov, A. S. - UnknownSavransky, M. Y. - Unknown","Null","2.30","Indirect expropriation","Indirect expropriation","Award dated 21 November 2013","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 23 June 2014 (Judicial review by national courts)Second Judgment of the Moscow Arbitration Court on Application to Set Aside Award dated 19 November 2014 (Judicial review by national courts)","None","None","Vilkova, N.","NA","NA"
2013,"Photovoltaik Knopf Betriebs v. The Czech Republic","Czech Republic - Germany BIT (1990)The Energy Charter Treaty (1994)","UNCITRAL","PCA","Investment: Interests in the Czech photovoltaic sector.                        Summary: Claims arising out of amendments to the pre-existing incentive regime for the renewable energy sector, including the introduction of a levy on electricity generated from solar power plants.","Interests in the Czech photovoltaic sector.","Decided in favour of State","Czechia","0.888","Germany","0.936","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","van Houtte, H. - PresidentBishop, D. - Claimant (replaced)Landau, T. - RespondentBorn, G. B. - Claimant (replaced)Beechey, J. - Claimant","1.70","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","None - all claims dismissed at the merits stage","Award dated 15 May 2019","None","None","None","None","None","None","van Houtte, H.","Bishop, D. - 999Landau, T.","Beechey, J."
2013,"Po­tovÇ­ banka and Istrokapital v. Greece","Czech Republic - Greece BIT (1991)Cyprus - Greece BIT (1992)","ICSID","ICSID","Investment: Ownership by Po­tovÇ­ banka of Greek Government bonds, characterized by claimants as a loan to the Greek Government, a claim to money, and a right to performance under a contract having financial value.                        Summary: Claims arising out of the enactment of legislation that amended sovereign bond terms retroactively and unilaterally by the Government, allegedly allowing the imposition of new terms upon bondholders against their consent if a supermajority of other bondholders consented, in the context of Greece's 2012 sovereign debt restructuring.","Ownership by Po­tovÇ­ banka of Greek Government bonds, characterized by claimants as a loan to the Greek Government, a claim to money, and a right to performance under a contract having financial value.","Decided in favour of State","Greece","0.87","Cyprus","0.869","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Zuleta, E. - PresidentTownsend, J. M. - ClaimantStern, B. - Respondent","529.00","Null","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","None - jurisdiction declined","Award dated 9 April 2015","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Partial Annulment dated 29 September 2016 (ICSID annulment proceedings)","None","Kettani, A. - PresidentEdward, D. A. O. - MemberShin, H.-T. - Member","Zuleta, E.","Stern, B.","Townsend, J. M."
2013,"RECOFI v. Viet Nam","France - Viet Nam BIT (1992)","UNCITRAL","PCA","Investment: Claims to money for outstanding payments concerning RECOFI's participation in a State-run food assistance programme.                        Summary: Claims arising out of alleged outstanding payments by the Government concerning claimant's participation in an assistance programme that provided food and basic commodities to Viet Nam when the country faced food shortages in 1987.","Claims to money for outstanding payments concerning RECOFI's participation in a State-run food assistance programme.","Decided in favour of State","Viet Nam","0.694","France","0.901","Secondary: C - ManufacturingTertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles","10 - Manufacture of food products46 - Wholesale trade, except of motor vehicles and motorcycles","Hanotiau, B. - PresidentAlexandrov, S. A. - ClaimantThomas, J. C. - Respondent","66.00","Null","Data not available","None - jurisdiction declined","Final Award dated 28 September 2015","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Judgment of the Federal Supreme Court of Switzerland dated 20 September 2016 (Judicial review by national courts)","None","None","Hanotiau, B.","Thomas, J. C.","Alexandrov, S. A."
2013,"RREEF v. Spain","The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Shareholding in two solar power plants located in AndalucÇða, Spain.                        Summary: Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generatorsƒ?? revenues and a reduction in subsidies for renewable energy producers.","Shareholding in two solar power plants located in AndalucÇða, Spain.","Decided in favour of investor","Spain","0.891","Luxembourg","0.904","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Pellet, A. - PresidentVolterra, R. - ClaimantNikken, P. - Respondent","512.30","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 6 June 2016Decision on Responsibility and on the Principles of Quantum dated 30 November 2018","Partially Dissenting Opinion of Robert Volterra","None","None","None","None","None","Pellet, A.","Nikken, P.","Volterra, R."
2013,"Seventhsun and others v. Poland","Cyprus - Poland BIT (1992)","SCC","SCC","Investment: 62% shareholding in Polish steel manufacturer, Huta Pokoj.                        Summary: Claims arising out of the alleged freeze of the claimants' shareholding by the Polish Public Prosecutor's Office related to criminal proceedings.","62% shareholding in Polish steel manufacturer, Huta Pokoj.","Decided in favour of State","Poland","0.865","Cyprus","0.869","Secondary: C - Manufacturing","24 - Manufacture of basic metals","Sekolec, J. - PresidentHobÇ¸r, K. - ClaimantNowaczyk, P. - Respondent","1336.00","Null","Direct expropriation","None - all claims dismissed at the merits stage","Partial Award dated 13 October 2015Award on Costs dated 4 January 2016","None","None","None","None","None","None","Sekolec, J.","Nowaczyk, P.","HobÇ¸r, K."
2013,"Shinhan v. Libya","Korea, Republic of - Libya BIT (2006)","Ad hoc","None","Investment: Investments in the construction of 5,000 Housing Units & Service Building in Tripoli City under a contract with the Government.                        Summary:","Investments in the construction of 5,000 Housing Units & Service Building in Tripoli City under a contract with the Government.","Pending","Libya","0.706","Korea (Republic of)","0.903","Tertiary: F - Construction","41 - Construction of buildings","Name not available - PresidentName not available - ClaimantName not available - Respondent","2000.00","Null","Data not available","Pending","Data not available","Data not available","None","None","None","None","None","Name not available","Name not available","Name not available"
2013,"Sorelec v. Libya","France - Libya BIT (2004)","ICC","ICC","Investment:                         Summary:","","Decided in favour of investor","Libya","0.706","France","0.901","Data not available","Data not available","Fortier, L. Y. - PresidentHanotiau, B. - ClaimantLoquin, E. - Respondent","Null","452.00","Data not available","Data not available","Interim Award dated 20 December 2017Final Award dated 10 April 2018","None","None","None","None","None","None","Fortier, L. Y.","Loquin, E.","Hanotiau, B."
2013,"South American Silver v. Bolivia","Bolivia, Plurinational State of - United Kingdom BIT (1988)","UNCITRAL","PCA","Investment: Rights under mining concessions held through claimant's wholly-owned subsidiary, CompaÇñia Minera Malku Khota.                        Summary: Claims arising out of the Government's decree that revoked mining concessions held by the claimantƒ??s subsidiary, following protests and social unrest within the indigenous populations in the mining area.","Rights under mining concessions held through claimant's wholly-owned subsidiary, CompaÇñia Minera Malku Khota.","Decided in favour of investor","Bolivia (Plurinational State of)","0.693","Bermuda","0.924","Primary: B - Mining and quarrying","7 - Mining of metal ores","Orrego VicuÇña, F. - ClaimantGuglielmino, O. C. - RespondentZuleta, E. - President","385.70","18.70","Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseNational treatmentArbitrary, unreasonable and/or discriminatory measures","Direct expropriation","Award dated 30 August 2018","Separate Opinion of Francisco Orrego VicuÇñaDissenting Opinion of Osvaldo Cesar Guglielmino","None","None","None","None","None","Zuleta, E.","Guglielmino, O. C.","Orrego VicuÇña, F."
2013,"Spentex v. Uzbekistan","Netherlands - Uzbekistan BIT (1996)","ICSID","ICSID","Investment: Ownership of three Uzbek cotton processing plants for yarn production.                        Summary: Claims arising out of the withdrawal by the Government of a VAT subsidy to cotton input purchases and other incentives, allegedly leading to the bankruptcy of claimant's investment in Uzbekistan.","Ownership of three Uzbek cotton processing plants for yarn production.","Decided in favour of State","Uzbekistan","0.71","Netherlands","0.931","Secondary: C - Manufacturing","13 - Manufacture of textiles","Reinisch, A. - PresidentAlexandrov, S. A. - ClaimantStern, B. - Respondent","100.00","Null","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatment","None - jurisdiction declined","Award dated 27 December 2016","None","None","None","None","None","None","Reinisch, A.","Stern, B.","Alexandrov, S. A."
2013,"Stans Energy v. Kyrgyzstan (I)","CIS Investor Rights Convention (1997)","MCCI","MCCI","Investment: Indirect ownership by Stans Energy Corp. of Kutisay Mining LLC that held a licence for mining rare earth, bismuth, molybdenum and silver at the ƒ??Kutessay IIƒ? deposit.                        Summary: Claims arising out of a series of measures by the Government which allegedly resulted in the impossibility to carry out activities on the mineral deposit ƒ??Kutessay IIƒ? in accordance with the mining license previously granted to Kutisay Mining LLC.","Indirect ownership by Stans Energy Corp. of Kutisay Mining LLC that held a licence for mining rare earth, bismuth, molybdenum and silver at the ƒ??Kutessay IIƒ? deposit.","Decided in favour of investor","Kyrgyzstan","0.672","Canada","0.926","Primary: B - Mining and quarrying","7 - Mining of metal ores","Vilkova, N. - ClaimantBalayan, L. - RespondentPak, M. Z. - President","117.80","117.80","Indirect expropriation","Indirect expropriation","Award dated 30 June 2014","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 25 May 2015 (Judicial review by national courts)","None","None","Pak, M. Z.","Balayan, L.","Vilkova, N."
2013,"U.S. Steel v. Slovakia","Netherlands - Slovakia BIT (1991)","UNCITRAL","PCA","Investment: Ownership of a local steel production company.                        Summary: Claims arising out of the imposition of certain electricity tariffs upon claimant's local steel plant, US Steel Ko­ice.","Ownership of a local steel production company.","Discontinued","Slovakia","0.855","Netherlands","0.931","Secondary: C - Manufacturing","24 - Manufacture of basic metals","Reisman, W. M. - PresidentVolterra, R. - ClaimantCrawford, J. R. - Respondent","300.00","Null","Data not available","Not applicable - settled or discontinued before decision on liability","None","None","None","None","None","None","None","Reisman, W. M.","Crawford, J. R.","Volterra, R."
2013,"UP and C.D Holding v. Hungary","France - Hungary BIT (1986)","ICSID","ICSID","Investment: Company engaged in the sale of social vouchers in Hungary.                        Summary: Claims arising out of the enactment of legislation granting the Government a monopoly over the prepaid corporate vouchers industry, allegedly introducing a State-run voucher system with conditions more favorable than those granted to private operators.","Company engaged in the sale of social vouchers in Hungary.","Decided in favour of investor","Hungary","0.838","France","0.901","Tertiary: N - Administrative and support service activities","82 - Office administrative, office support and other business support activities","BÇôckstiegel, K.-H. - PresidentFortier, L. Y. - ClaimantBethlehem, D. - Respondent","31.50","26.70","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Indirect expropriation","Decision on Jurisdiction dated 3 March 2016Award dated 9 October 2018","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","RamÇðrez HernÇ­ndez, R. - PresidentCooper-Rousseau, B. - MemberWallgren-Lindholm, C. - Member","BÇôckstiegel, K.-H.","Bethlehem, D.","Fortier, L. Y."
2013,"Valores Mundiales and Consorcio Andino v. Venezuela","Spain - Venezuela, Bolivarian Republic of BIT (1995)","ICSID","ICSID","Investment: Ownership of two local cornflour and tortillas production companies, Monaca and Demaseca.                        Summary: Claims arising out of the Government's issuance of a decree that expropriated claimants' tortilla and corn flour production businesses in Venezuela.","Ownership of two local cornflour and tortillas production companies, Monaca and Demaseca.","Decided in favour of investor","Venezuela (Bolivarian Republic of)","0.761","Spain","0.891","Secondary: C - Manufacturing","10 - Manufacture of food products","Zuleta, E. - PresidentGrigera NaÇün, H. A. - ClaimantDerains, Y. - Respondent","Null","430.40","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresTransfer of fundsIndirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresTransfer of funds","Decision on the Respondentƒ??s request to address the objections to jurisdiction as a preliminary question dated 1 October 2014Award dated 25 July 2017","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Radicati di Brozolo, L. - PresidentDe Quadros, F. - MemberMoreno RodrÇðguez, J. A. - MemberJimÇ¸nez Figueres, D. - Member (replaced)","Zuleta, E.","Derains, Y.","Grigera NaÇün, H. A."
2013,"van Riet v. Croatia","BLEU (Belgium-Luxembourg Economic Union) - Croatia BIT (2001)","ICSID","ICSID","Investment: Ownership of 47 plots of land along the ZablacÇ¸ peninsula, acquired for developing a 15-villa luxury beachside resort.                        Summary: Claims arising out of the alleged misrepresentation by Croatian authorities to the claimants by issuing them certificates affirming that certain land plots were located within the allowed construction area for the development of a real estate project, and later refusing them permission to construct on the basis that the plots were outside the construction zone and noting that the previous certificates were issued in disregard of the applicable planning laws.","Ownership of 47 plots of land along the ZablacÇ¸ peninsula, acquired for developing a 15-villa luxury beachside resort.","Decided in favour of State","Croatia","0.831","Belgium","0.916","Tertiary: L - Real estate activities","68 - Real estate activities","BÇôckstiegel, K.-H. - PresidentFadlallah, I. - ClaimantLandau, T. - Respondent","30.00","Null","Unclear","None - all claims dismissed at the merits stage","Award dated 2 November 2016","None","None","None","None","None","None","BÇôckstiegel, K.-H.","Landau, T.","Fadlallah, I."
2013,"Voltaic Network v. Czechia","Czech Republic - Germany BIT (1990)The Energy Charter Treaty (1994)","UNCITRAL","PCA","Investment: Interests in the Czech photovoltaic sector.                        Summary: Claims arising out of amendments to the pre-existing incentive regime for the renewable energy sector, including the introduction of a levy on electricity generated from solar power plants.","Interests in the Czech photovoltaic sector.","Decided in favour of State","Czechia","0.888","Germany","0.936","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","van Houtte, H. - PresidentBishop, D. - Claimant (replaced)Landau, T. - RespondentBorn, G. B. - Claimant (replaced)Beechey, J. - Claimant","8.60","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","None - all claims dismissed at the merits stage","Award dated 15 May 2019","None","None","None","None","None","None","van Houtte, H.","Bishop, D. - 999Landau, T.","Beechey, J."
2013,"Windstream Energy v. Canada","NAFTA (1992)","UNCITRAL","PCA","Investment: Ownership of WWIS (100 per cent shareholding), a Canadian corporation that had entered into a power purchase agreement under the Ontario Power Authorityƒ??s feed-in-tariff program to develop an offshore wind generation facility in Ontario.                        Summary: Claims arising out of a moratorium imposed by the Government of Ontario on offshore wind farms that indefinitely suspended claimant's investment project in this sector.","Ownership of WWIS (100 per cent shareholding), a Canadian corporation that had entered into a power purchase agreement under the Ontario Power Authorityƒ??s feed-in-tariff program to develop an offshore wind generation facility in Ontario.","Decided in favour of investor","Canada","0.926","United States","0.924","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Heiskanen, V. - PresidentBishop, D. - ClaimantCremades, B. M. - Respondent","522.10","19.10","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatment","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 27 September 2016","None","None","None","None","None","None","Heiskanen, V.","Cremades, B. M.","Bishop, D."
2013,"Yukos Capital v. Russia","The Energy Charter Treaty (1994)","UNCITRAL","PCA","Investment: Investments in the Russian-incorporated Yukos Oil Company.                        Summary: Claims arising out of the Governmentƒ??s alleged illegal expropriation of claimantƒ??s investments in Yukos Oil Company.","Investments in the Russian-incorporated Yukos Oil Company.","Pending","Russian Federation","0.816","Luxembourg","0.904","Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","McLachlan, C. A. - PresidentRowley, J. W. - ClaimantStern, B. - Respondent","13000.00","Null","Data not available","Pending","Interim Award on Jurisdiction dated 18 January 2017","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Judgment of the Swiss Federal Supreme Court dated 20 July 2017 (Judicial review by national courts)","None","None","McLachlan, C. A.","Stern, B.","Rowley, J. W."
2012,"Allawi v. Pakistan","Pakistan - United Kingdom BIT (1994)","UNCITRAL","PCA","Investment: Shareholding in Progas, a company engaged in import operations of liquid petroleum gas.                        Summary: Claims arising out of the alleged Government interference in operations at a gas import terminal at Port Qasim, leading to the alleged expropriation of claimant's liquid petroleum gas infrastructure in Karachi.","Shareholding in Progas, a company engaged in import operations of liquid petroleum gas.","Decided in favour of State","Pakistan","0.562","United Kingdom","0.922","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Fortier, L. Y. - PresidentBrower, C. N. - ClaimantThomas, J. C. - Respondent","70.00","Null","Data not available","None - all claims dismissed at the merits stage","Award dated 30 August 2016","None","None","None","None","None","None","Fortier, L. Y.","Thomas, J. C.","Brower, C. N."
