"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","hDIResp","Home State of investor","hDIClaim","Economic sector","Economic subsector","Arbitrators","amountClaimed","amountAwarded","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC","damagesRatio"
1987,"AAPL v. Sri Lanka","Sri Lanka - United Kingdom BIT (1980)","ICSID","ICSID","Investment: Shareholding in a Sri Lankan shrimp farming enterprise.                        Summary: Claims arising out of the alleged destruction of claimant's investment during a military operation conducted by Sri Lanka security forces.","Shareholding in a Sri Lankan shrimp farming enterprise.","Decided in favour of investor","Sri Lanka",0.77,"United Kingdom",0.922,"Primary: A - Agriculture, forestry and fishing","3 - Fishing and aquaculture","El-Kosheri, A. S. - PresidentGoldman, B. - ClaimantAsante, S. K.B. - Respondent",8,0.46,"Full protection and security, or similarLosses sustained due to insurrection, war, or similar eventsCustomary rules of international law","Customary rules of international law","Award dated 27 June 1990","Dissenting Opinion of Samuel K.B. Asante (Award)","None","None","None","None","None","El-Kosheri, A. S.","Asante, S. K.B.","Goldman, B.","0.0575"
2010,"White Industries v. India","Australia - India BIT (1999)","UNCITRAL","None","Investment: Rights under certain contract concluded with a State-owned mining company, a bank guarantee and an ICC award rendered in White Industries' favour.                        Summary: Claims arising out of alleged judicial delays by the Government of India that left the claimant unable to enforce an ICC award for over nine years concerning a contractual dispute with Coal India, a State-owned mining entity.","Rights under certain contract concluded with a State-owned mining company, a bank guarantee and an ICC award rendered in White Industries' favour.","Decided in favour of investor","India",0.64,"Australia",0.939,"Primary: B - Mining and quarrying","5 - Mining of coal and lignite","Rowley, J. W. - PresidentBrower, C. N. - ClaimantLau, C. - Respondent",8.8,4.1,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatmentTransfer of fundsOther","Most-favoured nation treatmentOther","Final Award dated 30 November 2011","None","None","None","None","None","None","Rowley, J. W.","Lau, C.","Brower, C. N.","0.465909090909091"
2013,"Houben v. Burundi","BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989)","ICSID","ICSID","Investment: Ownership of land, acquired by Mr. Houben for real estate development purposes.                        Summary: Claims arising out of an alleged de facto expropriation of land, by allowing the permanent occupation of claimant's property, without any form of compensation.","Ownership of land, acquired by Mr. Houben for real estate development purposes.","Decided in favour of investor","Burundi",0.417,"Belgium",0.916,"Tertiary: L - Real estate activities","68 - Real estate activities","Guillaume, G. - PresidentBanifatemi, Y. - ClaimantStern, B. - Respondent",9.1,0.2,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Full protection and security, or similarIndirect expropriation","Award dated 12 January 2016","None","None","None","None","None","None","Guillaume, G.","Stern, B.","Banifatemi, Y.","0.021978021978022"
2016,"Kunsttrans v. Serbia","Austria - Serbia BIT (2001)","ICSID","ICSID","Investment: Art storage contract concluded with the National Museum of Serbia.                        Summary: Claims arising out of a contract signed in 2006 between the National Museum of Serbia and the claimant for the storage of the MuseumÃ†â€™??s art collection during a planned renovation. The Museum allegedly failed to pay over EUR 500,000 in rental fees for the use of the art storage facility that the claimant had constructed in 2007.","Art storage contract concluded with the National Museum of Serbia.","Decided in favour of investor","Serbia",0.787,"Austria",0.908,"Tertiary: H - Transportation and storage","52 - Warehousing and support activities for transportation","Townsend, J. M. - PresidentAlexandrov, S. A. - ClaimantLandau, T. - Respondent",10.3,1.9,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 19 November 2018","None","None","None","None","None","None","Townsend, J. M.","Landau, T.","Alexandrov, S. A.","0.184466019417476"
2007,"Alpha Projektholding v. Ukraine","Austria - Ukraine BIT (1996)","ICSID","ICSID","Investment: Contributions made in connection with joint investment activities agreements concluded between the parties concerning a project to renovate and operate a hotel in Kiev, giving rise to certain legal rights and interests.                        Summary: Claims arising out of the investor's modernization of a four star hotel complex in Kiev followed by Ukraine's alleged expropriation of the hotel by turning it into a public corporation and transferring its assets, co-owned by the respondent, to a company solely owned by Ukraine without compensation.","Contributions made in connection with joint investment activities agreements concluded between the parties concerning a project to renovate and operate a hotel in Kiev, giving rise to certain legal rights and interests.","Decided in favour of investor","Ukraine",0.751,"Austria",0.908,"Tertiary: F - ConstructionTertiary: I - Accommodation and food service activities","41 - Construction of buildings55 - Accommodation","Robinson, D. R. - PresidentTurbowicz, Y. A. - ClaimantAlexandrov, S. A. - Respondent",11.4,2.9,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseNational treatment","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 8 November 2010","None","None","None","None","None","None","Robinson, D. R.","Alexandrov, S. A.","Turbowicz, Y. A.","0.254385964912281"
2015,"CEF Energia v. Italy","The Energy Charter Treaty (1994)","SCC","SCC","Investment: Investments in three photovoltaic plants (Enersol, Megasol and Phenix) through direct and indirect shareholdings in related local companies.                        Summary: Claims arising out of a series of governmental decrees to cut tariff incentives for some solar power projects.","Investments in three photovoltaic plants (Enersol, Megasol and Phenix) through direct and indirect shareholdings in related local companies.","Decided in favour of investor","Italy",0.88,"Netherlands",0.931,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Reichert, K. - PresidentSachs, K. - ClaimantSacerdoti, G. - Respondent",11.8,11,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 16 January 2019","None","Judicial review by national courts","Pending (Judicial review by national courts)","None","None","None","Reichert, K.","Sacerdoti, G.","Sachs, K.","0.932203389830508"
2001,"Nykomb v. Latvia","The Energy Charter Treaty (1994)","SCC","SCC","Investment: Ownership of local joint stock company holding contractual rights with a State enterprise for an investment project.                        Summary: Claims arising out of a dispute over the purchase price to be paid under a contract entered into between claimant's subsidiary and a State enterprise for the building of a cogeneration plant in Latvia.","Ownership of local joint stock company holding contractual rights with a State enterprise for an investment project.","Decided in favour of investor","Latvia",0.847,"Sweden",0.933,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Haug, B. - PresidentSchÃƒâ€¡Ã‚Â¬tze, R. A. - UnknownGernandt, J. - Unknown",12.3,2.9,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Arbitrary, unreasonable and/or discriminatory measures","Arbitral Award dated 16 December 2003","None","None","None","None","None","None","Haug, B.",NA,NA,"0.235772357723577"
2005,"Saipem v. Bangladesh","Bangladesh - Italy BIT (1990)","ICSID","ICSID","Investment: Right to arbitrate (i.e. a right accruing by contract having an economic value) under a contract concluded between the claimant and a State-owned entity for a gas pipeline construction project.                        Summary: Claims arising out of the actions of the State-owned entity Petrobangla and of the courts of Bangladesh allegedly aimed at sabotaging an ICC commercial arbitration proceeding and the subsequent non-enforcement of the award concerning the breach of a contract concluded between the claimant and said State-owned entity for the construction of a long-distance gas pipeline.","Right to arbitrate (i.e. a right accruing by contract having an economic value) under a contract concluded between the claimant and a State-owned entity for a gas pipeline construction project.","Decided in favour of investor","Bangladesh",0.608,"Italy",0.88,"Tertiary: F - Construction","42 - Civil engineering","Kaufmann-Kohler, G. - PresidentSchreuer, C. H. - ClaimantOtton, P. - Respondent",12.5,6.3,"Indirect expropriation","Indirect expropriation","Decision on Jurisdiction and Recommendation on Provisional Measures dated 21 March 2007Award dated 30 June 2009","None","None","None","None","None","None","Kaufmann-Kohler, G.","Otton, P.","Schreuer, C. H.","0.504"
2001,"AIG v. Kazakhstan","Kazakhstan - United States of America BIT (1992)","ICSID","ICSID","Investment: Ownership and/or direct control of an investment vehicle company, a financing company and a joint venture established to invest in certain real estate project.                        Summary: Claims arising out of the cancellation of a project for the development of a residential housing complex, and the subsequent transfer of the project's property to the City of Almaty without compensation, on the basis that the land concerned was required for a national arboretum.","Ownership and/or direct control of an investment vehicle company, a financing company and a joint venture established to invest in certain real estate project.","Decided in favour of investor","Kazakhstan",0.8,"United States",0.924,"Tertiary: L - Real estate activities","68 - Real estate activities","Nariman, F. S. - PresidentBernardini, P. - ClaimantVukmir, B. - Respondent",13.5,6,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Indirect expropriation","Final Award dated 7 October 2003","None","None","None","None","None","None","Nariman, F. S.","Vukmir, B.","Bernardini, P.","0.444444444444444"
2015,"Greentech and NovEnergia v. Italy","The Energy Charter Treaty (1994)","SCC","SCC","Investment: Ownership of 134 solar plants located in Italy.                        Summary: Claims arising out of a series of governmental decrees to prematurely cut tariff incentives for photovoltaic plants originally offered for 20-year period, as well as modifications to the taxation regime and minimum guaranteed price scheme, cancellation of inflation adjustment and imposition of new fees.","Ownership of 134 solar plants located in Italy.","Decided in favour of investor","Italy",0.88,"Denmark",0.929,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Park, W. W. - PresidentHaigh, D. - ClaimantSacerdoti, G. - Respondent",13.5,13.5,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresUmbrella clause","Final Award dated 23 December 2018","Dissenting Opinion of Giorgio Sacerdoti","Judicial review by national courts","Pending (Judicial review by national courts)","None","None","None","Park, W. W.","Sacerdoti, G.","Haigh, D.","1"
2015,"Manchester Securities v. Poland","Poland - United States of America BIT (1990)","UNCITRAL","PCA","Investment: Loan to a Polish real estate developer for the construction of an apartment complex in Krakow, Poland.                        Summary: Claims arising out of the Polish courtsÃ†â€™?? decision concerning an unfinished apartment complex in Krakow, allegedly resulting in the claimantÃ†â€™??s inability to collect its debt from the developer of that complex.","Loan to a Polish real estate developer for the construction of an apartment complex in Krakow, Poland.","Decided in favour of investor","Poland",0.865,"United States",0.924,"Tertiary: L - Real estate activities","68 - Real estate activities","Data not available",14.9,1e-05,"Data not available","Data not available","Award dated December 2018","None","None","None","None","None","None",NA,NA,NA,"6.71140939597315e-07"
2016,"Grot and others v. Moldova","Moldova, Republic of - United States of America BIT (1993)","ICSID","ICSID","Investment: Rights under lease agreements for agricultural land concluded with landowners for a 3-year period.                        Summary: Claims arising out of the alleged unlawful termination of the lease agreements for agricultural land concluded by the claimants with the landowners in two villages in the north-east of Moldova. A year after the agreements had been concluded, the respective local city halls revoked the registration of the agreements due to the claimantsÃ†â€™?? alleged non-performance of their contractual obligations, and registered lease agreements with a different lessee for the same land plots.","Rights under lease agreements for agricultural land concluded with landowners for a 3-year period.","Decided in favour of investor","Moldova (Republic of)",0.7,"United States",0.924,"Primary: A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Sands, P. - PresidentFortier, L. Y. - ClaimantKnieper, R. - Respondent",15,0.4,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Indirect expropriation","Award dated 28 June 2018","None","None","None","None","None","None","Sands, P.","Knieper, R.","Fortier, L. Y.","0.0266666666666667"
2005,"Funnekotter v. Zimbabwe","Netherlands - Zimbabwe BIT (1996)","ICSID","ICSID","Investment: Direct and indirect ownership of large commercial farms in Zimbabwe.                        Summary: Claims arising out of the enactment of a Land Acquisition Act and other measures authorizing the Government to acquire compulsorily any rural land when the acquisition was deemed necessary for agricultural settlement purposes under which the claimants' properties were allegedly expropriated without compensation, including the presence of war veterans and settlers that forced the claimants to vacate their farms.","Direct and indirect ownership of large commercial farms in Zimbabwe.","Decided in favour of investor","Zimbabwe",0.535,"Netherlands",0.931,"Primary: A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Guillaume, G. - PresidentCass, R. A. - ClaimantWasi Zafar, M. - Respondent",15.6,10.6,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Direct expropriation","Award dated 22 April 2009","None","None","None","None","None","None","Guillaume, G.","Wasi Zafar, M.","Cass, R. A.","0.67948717948718"
2001,"MTD v. Chile","Chile - Malaysia BIT (1992)","ICSID","ICSID","Investment: Shareholding in an investment vehicle corporation for the construction of a residential and commercial complex in Chile.                        Summary: Claims arising out of the Government's denial of a zoning modification allegedly necessary for the claimant to execute a residential development project in Chile.","Shareholding in an investment vehicle corporation for the construction of a residential and commercial complex in Chile.","Decided in favour of investor","Chile",0.843,"Malaysia",0.802,"Tertiary: L - Real estate activities","68 - Real estate activities","Rigo Sureda, A. - PresidentAguilar Ãƒâ€¡Ã‚Âlvarez, G. - President (replaced)Lalonde, M. - ClaimantCarter, J. H. - Claimant (replaced)Oreamuno Blanco, R. - RespondentReisman, W. M. - Respondent (replaced)",20,5.8,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 25 May 2004","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 21 March 2007 (ICSID annulment proceedings)","None","Guillaume, G. - PresidentCrawford, J. R. - MemberOrdoÃƒâ€¡ÃƒÂ±ez Noriega, S. - Member","Rigo Sureda, A.","Carter, J. H. - 999Oreamuno Blanco, R.","Aguilar Ãƒâ€¡Ã‚Âlvarez, G. - 999Lalonde, M.","0.29"
1993,"AMT v. Zaire","Congo, Democratic Republic of the - United States of America BIT (1984)","ICSID","ICSID","Investment: Majority shareholding in company engaged in the production and sale of automotive and dry cell batteries and in the importation and resale of consumer goods and foodstuffs.                        Summary: Claims arising out of two alleged episodes of looting in which soldiers of the Zairian armed forces destroyed, damaged or took away certain property, finished goods, raw materials and other objects of value belonging to the local subsidiary of the investor.","Majority shareholding in company engaged in the production and sale of automotive and dry cell batteries and in the importation and resale of consumer goods and foodstuffs.","Decided in favour of investor","Congo (Democratic Republic of the)",0.457,"United States",0.924,"Secondary: C - Manufacturing","27 - Manufacture of electrical equipment","Sucharitkul, S. - PresidentGolsong, H. - ClaimantMbaye, K. - Respondent",21.5,9,"Full protection and security, or similarLosses sustained due to insurrection, war, or similar events","Full protection and security, or similarLosses sustained due to insurrection, war, or similar events","Award dated 21 February 1997","Statement of the Individual Opinion of Mr. Heribert Golsong (Award)Declaration by Mr. Keba Mbaye (Award)","None","None","None","None","None","Sucharitkul, S.","Mbaye, K.","Golsong, H.","0.418604651162791"
2008,"Inmaris Perestroika v. Ukraine","Germany - Ukraine BIT (1993)","ICSID","ICSID","Investment: Claims to performance under direct and derivative rights under certain bareboat charter contract and related agreements concluded between the claimants and a State-owned entity.                        Summary: Claims arising out of a series of contracts concluded between a State-owned education institution of Ukraine and the claimants concerning the use of a windjammer sail training ship and subsequent disagreements regarding the operation of the contracts, including financing options for the reconstruction of the ship, followed by a Government's decision prohibiting the ship to leave Ukrainian territorial waters until clarification of matters relating to its joint operation.","Claims to performance under direct and derivative rights under certain bareboat charter contract and related agreements concluded between the claimants and a State-owned entity.","Decided in favour of investor","Ukraine",0.751,"Germany",0.936,"Tertiary: H - Transportation and storage","50 - Water transport","Alexandrov, S. A. - PresidentRubins, N. - ClaimantCremades, B. M. - Respondent",23.5,3.8,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresOther","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Decision on Jurisdiction dated 8 March 2010Award dated 1 March 2012","None","None","None","None","None","None","Alexandrov, S. A.","Cremades, B. M.","Rubins, N.","0.161702127659574"
2006,"Sistem v. Kyrgyzstan","Kyrgyzstan - Turkey BIT (1992)","ICSID AF","ICSID","Investment: Ownership of a hotel in Kyrgyzstan.                        Summary: Claims arising out of events following the investor's construction and operation of a hotel in Bishkek leading to the abrogation of its ownership rights in the hotel by local court decisions, after the overthrow of president Askar Akayev and his government during the Tulip Revolution of 2005.","Ownership of a hotel in Kyrgyzstan.","Decided in favour of investor","Kyrgyzstan",0.672,"Turkey",0.791,"Tertiary: F - ConstructionTertiary: I - Accommodation and food service activities","41 - Construction of buildings55 - Accommodation","Lowe, V. - PresidentPatocchi, P. M. - ClaimantElabary, N. - Respondent",24.7,8.5,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatment","Indirect expropriation","Decision on Jurisdiction dated 13 September 2007Award dated 9 September 2009","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Ontario Supreme Court Enforcement Decision dated 25 July 2012 (Judicial review by national courts)","None","None","Lowe, V.","Elabary, N.","Patocchi, P. M.","0.34412955465587"
2004,"Duke Energy v. Ecuador","Ecuador - United States of America BIT (1993)","ICSID","ICSID","Investment: Ownership interest in local power generation company.                        Summary: Claims arising out of alleged breaches of several agreements entered into between the parties for electrical power generation and supply to the city of Guayaquil in Ecuador.","Ownership interest in local power generation company.","Decided in favour of investor","Ecuador",0.752,"United States",0.924,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Kaufmann-Kohler, G. - PresidentGÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E. - Claimantvan den Berg, A. J. - Respondent",25,5.6,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measuresOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Award dated 18 August 2008","None","None","None","None","None","None","Kaufmann-Kohler, G.","van den Berg, A. J.","GÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E.","0.224"
2007,"Tza Yap Shum v. Peru","China - Peru BIT (1994)","ICSID","ICSID","Investment: Majority shareholding in a Peruvian company engaged in the purchase and export of fish flour to Asian markets.                        Summary: Claims arising out of the seizure of the bank account of claimant's enterprise due to tax debt and other alleged actions undertaken by Peruvian tax authorities that resulted in the substantive deprivation of claimant's investment.","Majority shareholding in a Peruvian company engaged in the purchase and export of fish flour to Asian markets.","Decided in favour of investor","Peru",0.75,"China",0.752,"Secondary: C - Manufacturing","10 - Manufacture of food products","Kessler, J. L. - PresidentOtero, H. - ClaimantFernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - Respondent",25.8,0.78,"Indirect expropriation","Indirect expropriation","Decision on Jurisdiction and Competence dated 19 June 2009Award dated 7 July 2011","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 12 February 2015 (ICSID annulment proceedings)","None","Hascher, D. - PresidentMcRae, D. M. - MemberWilliams, D. A. R. - Member","Kessler, J. L.","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J.","Otero, H.","0.0302325581395349"
2009,"Swisslion v. Macedonia","Macedonia, The former Yugoslav Republic of - Switzerland BIT (1996)","ICSID","ICSID","Investment: Majority shareholding in a former socially-owned Macedonian company under certain share sale agreement concluded with Macedonia's Ministry of Economy.                        Summary: Claims arising out of a share sale agreement concluded between Swisslion and Macedonia under which the investor acquired a controlling stake in Agroplod AD Resen, a Macedonian food production company, and subsequent Government's measures leading to the termination of such agreement and ordering the transfer of claimant's Agropold shares to a State Ministry without compensation.","Majority shareholding in a former socially-owned Macedonian company under certain share sale agreement concluded with Macedonia's Ministry of Economy.","Decided in favour of investor","North Macedonia",0.757,"Switzerland",0.944,"Secondary: C - Manufacturing","10 - Manufacture of food products","Guillaume, G. - PresidentPrice, D. M. - ClaimantThomas, J. C. - Respondent",26,0.43,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 6 June 2012","None","None","None","None","None","None","Guillaume, G.","Thomas, J. C.","Price, D. M.","0.0165384615384615"
2012,"Gavazzi v. Romania","Italy - Romania BIT (1990)","ICSID","ICSID","Investment: Majority shareholding in a local steel manufacturing enterprise under a privatisation agreement concluded with the Government.                        Summary: Claims arising out of a series of measures by the respondent allegedly in breach of its obligations under certain privatisation agreement concerning a steel plant in which the claimants had invested, leading to its liquidation.","Majority shareholding in a local steel manufacturing enterprise under a privatisation agreement concluded with the Government.","Decided in favour of investor","Romania",0.811,"Italy",0.88,"Secondary: C - Manufacturing","24 - Manufacture of basic metals","van Houtte, H. - PresidentVeeder, V. V. - ClaimantRubino-Sammartano, M. - Respondent",30,1e-05,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction, Admissibility and Liability dated 21 April 2015Award dated 18 April 2017Decision on Rectification dated 13 July 2017","Dissenting Opinion by Mauro Rubino-SammartanoDissenting Opinion with Regard to Quantum by Mauro Rubino-SammartanoDissenting Opinion on Rectification by Mauro Rubino-Sammartano","None","None","None","None","None","van Houtte, H.","Rubino-Sammartano, M.","Veeder, V. V.","3.33333333333333e-07"
2004,"OKO v. Estonia","Estonia - Germany BIT (1992)Estonia - Finland BIT (1992)","ICSID","ICSID","Investment: Rights under certain loan agreement, payment agreement, guarantee issued to secure payments under loan agreement, and certain mortgage contract.                        Summary: Claims arising out of Estonia's alleged default on a loan agreement which had been made to a joint venture Estonian company by the claimants, two Finnish banks and a German bank.","Rights under certain loan agreement, payment agreement, guarantee issued to secure payments under loan agreement, and certain mortgage contract.","Decided in favour of investor","Estonia",0.871,"Finland",0.92,"Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","De Witt Wijnen, O. L. O. - PresidentVeeder, V. V. - ClaimantFortier, L. Y. - Respondent",30,17.7,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 19 November 2007","None","None","None","None","None","None","De Witt Wijnen, O. L. O.","Fortier, L. Y.","Veeder, V. V.","0.59"
2007,"Fuchs v. Georgia","Georgia - Greece BIT (1994)","ICSID","ICSID","Investment: Co-ownership of a Panamanian company that had executed a joint venture agreement with a State-owned company and created a joint venture vehicle that held a Deed of Concession over certain oil and gas pipelines in Georgia.                        Summary: Claims arising out of a Government's decree cancelling the concession rights of an investment vehicle in which Mr. Ioannis Kardassopoulos and Mr. Ron Fuchs held interests, devoted to the development of an oil pipeline to transport oil and gas from Azerbaijan to the Black Sea.","Co-ownership of a Panamanian company that had executed a joint venture agreement with a State-owned company and created a joint venture vehicle that held a Deed of Concession over certain oil and gas pipelines in Georgia.","Decided in favour of investor","Georgia",0.78,"Israel",0.903,"Tertiary: H - Transportation and storage","49 - Land transport and transport via pipelines","Fortier, L. Y. - PresidentLowe, V. - ClaimantWatts, A. - Claimant (replaced)Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - Respondent",30.2,15.1,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 6 July 2007Award dated 3 March 2010","None","ICSID annulment proceedings","Discontinued (ICSID annulment proceedings)","Decision of the ad hoc Committee on the Stay of Enforcement of the Award dated 12 November 2010 (ICSID annulment proceedings)Decision of the ad hoc Committee to terminate the Stay of Enforcement of the Award dated 19 January 2011 (ICSID annulment proceedings)Decision of the ad hoc Committee to suspend the Annulment Proceeding dated 21 March 2011 (ICSID annulment proceedings)Order taking note of the discontinuance of the proceeding dated 12 December 2011, pursuant to ICSID Arbitration Rules 53 and 43(1) (ICSID annulment proceedings)","None","Hascher, D. - PresidentAbraham, C. W. M. - MemberBÃƒâ€¡ÃƒÂ´ckstiegel, K.-H. - Member","Fortier, L. Y.","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Lowe, V.","0.5"
2005,"Kardassopoulos v. Georgia","Georgia - Greece BIT (1994)The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Co-ownership of a Panamanian company that had executed a joint venture agreement with a State-owned company and created a joint venture vehicle that held a Deed of Concession over certain oil and gas pipelines in Georgia.                        Summary: Claims arising out of a Government's decree cancelling the concession rights of an investment vehicle, in which Mr. Ioannis Kardassopoulos and Mr. Ron Fuchs held interests, devoted to the development of an oil pipeline to transport oil and gas from Azerbaijan to the Black Sea.","Co-ownership of a Panamanian company that had executed a joint venture agreement with a State-owned company and created a joint venture vehicle that held a Deed of Concession over certain oil and gas pipelines in Georgia.","Decided in favour of investor","Georgia",0.78,"Greece",0.87,"Tertiary: H - Transportation and storage","49 - Land transport and transport via pipelines","Fortier, L. Y. - PresidentOrrego VicuÃƒâ€¡ÃƒÂ±a, F. - ClaimantLowe, V. - RespondentWatts, A. - Respondent (replaced)",30.2,15.1,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 6 July 2007Award dated 3 March 2010","None","ICSID annulment proceedings","Discontinued (ICSID annulment proceedings)","Decision of the ad hoc Committee on the Stay of Enforcement of the Award dated 12 November 2010 (ICSID annulment proceedings)Decision of the ad hoc Committee to Terminate the Stay of Enforcement of the Award dated 19 January 2011 (ICSID annulment proceedings)Decision of the ad hoc Committee to Suspend the Annulment Proceeding dated 21 March 2011 (ICSID annulment proceedings)Order taking note of the discontinuance of the proceeding dated 12 December 2011, pursuant to ICSID Arbitration Rules 53 and 43(1) (ICSID annulment proceedings)","None","Hascher, D. - PresidentAbraham, C. W. M. - MemberBÃƒâ€¡ÃƒÂ´ckstiegel, K.-H. - Member","Fortier, L. Y.","Lowe, V.","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","0.5"
1999,"Feldman v. Mexico","NAFTA (1992)","ICSID AF","ICSID","Investment: Ownership of local company engaged in the export of tobacco products from Mexico.                        Summary: Claims arising out of Mexico's application of certain tax laws to the export of tobacco products which allegedly denied claimant's local company, an exporter of cigarettes from Mexico, the benefits of a law that allowed certain tax refunds to exporters.","Ownership of local company engaged in the export of tobacco products from Mexico.","Decided in favour of investor","Mexico",0.774,"United States",0.924,"Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles","46 - Wholesale trade, except of motor vehicles and motorcycles","Kerameus, K. D. - PresidentGantz, D. A. - ClaimantCovarrubias Bravo, J. - Respondent",30.3,0.74,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatment","Indirect expropriationNational treatment","Award of the Tribunal dated 16 December 2002Interim Decision on Preliminary Jurisdictional Issues dated 6 December 2000","Dissenting Opinion of Mr. Jorge Covarrubias Bravo (Award)","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","The United Mexican States v. Marvon Roy Feldman Karpa, Ontario Superior Court of Justice, Decision on the Application to Set Aside Award dated 3 December 2003 (Judicial review by national courts)The United Mexican States v. Marvon Roy Feldman Karpa, Court of Appeal for Ontario, Appeal Court Decision on the Application to Set Aside Award dated 11 January 2005 (Judicial review by national courts)","None","None","Kerameus, K. D.","Covarrubias Bravo, J.","Gantz, D. A.","0.0244224422442244"
